"# 文本key","文本value"
"Common_Attitude","Attitudes"
"Common_Destiny","Karma"
"Common_Return_Login","Leaving Miniworld..."
"Common_Story","Bio"
"Common_Move_Restraint","Move Counters"
"Common_Prop","Attributes"
"Common_Fade","After the time that half of an incense stick takes to burn..."
"Common_Fade_Sp","Time passes..."
"Common_TianLao","Deviant Cultivator...Activating Runes...Restraining Spirit..."
"Common_BreakTianLao","You saved the other cultivator, and the two of you escaped Huanmos Temple after enduring countless hardships..."
"Common_BreakTianLao_sp","You were rescued by the Heavenly Saint and sent back to the Great Wilds..."
"Common_RoyalPrison","You were locked into the dungeon ..."
"Common_RoyalPrison_Sp","You were locked into the dungeon and pierced the pipa bone ..."
"Common_RoyalPrison_Sp_Die","You were locked into the dungeon, pierced the pipa bone, waiting for asking ..."
"Common_FreeCriminal","After a period of time, you were released ..."
"Common_FreeCriminal_NPC","After a period of time, the prisoner was released ..."
"Common_KillHead","Ask the chopping ..."
"Common_Move_To","Go to somewhere"
"Common_Find_Somebody","Look for someone"
"Common_Find_Something","Find {0}"
"Common_Move_To_Building","Go to {0}"
"Common_Move_To_Self_Home","Go to someone’s home"
"Common_Move_To_Other_Home","Go to my home"
"Common_Design","Design"
"Common_Lock","Locked"
"Common_GarnishLock","Crafting Locked"
"Common_Out_World","Mysterious Region under development. Stay tuned!"
"Common_None","None"
"Common_Weiget","「Weight」 {0}"
"Common_Min","Min"
"Common_Max","Max"
"Common_All","All"
"Common_Fake","Desolate"
"Common_Easy","Easy"
"Common_Normal","Medium"
"Common_Hard","Difficult"
"Common_VeryHard","Very Difficult"
"Common_InputNum","Enter Quantity"
"Common_Cost","Consume"
"Common_Reason","「Reason」"
"Common_Money","Coins"
"Common_Num_Btn","Number button"
"Common_Active","Activated"
"Common_Unactive","Unactivated"
"Common_Has_Died","Returned to Karma"
"Common_Get_Sth","Obtained"
"Common_Get_Debuff","Inflicted"
"Common_Trap","Trap"
"Common_Hold","Owned"
"Common_Master","Master"
"Common_Unit_Price","Unit Price"
"Common_Total_Price","Total"
"Common_Rule","Rule"
"Common_Choose_sth","Select Item"
"Common_Choose_Member","Choose a member"
"Common_Choose_Building","Choose architecture"
"Common_Choose","choose"
"Common_None_Owner","「No Owner」"
"Common_Has_Received","「Claimed」"
"Common_Can_Submit","「Ready」"
"Common_All_2","All"
"Common_Agree","Agree"
"Common_Degree","Refuse"
"Common_Wait_Agree","Not now"
"Common_skip_time","Time passes..."
"Common_Be_WuLinLeader","Became Champion"
"Common_WuLin_Failure","Defeated"
"Common_P_Attitude","Affinity:"
"Common_Btn_Attitude","Positive Attitude Reaches:"
"Common_Teach_Condition","This Skill requires Guru"
"Common_Teach_Ability_Condition","This Ability requires {0}"
"Common_Take","Claim"
"Common_Cure_SomeOne","You cured {0}"
"Common_Forgive_SomeOne","You showed {0} mercy"
"Common_Teach_SomeOne","You taught {0}"
"Common_Alms_SomeOne","You offered some items to {0}"
"Common_Cripple_SomeOne","You crippled {0}"
"Common_Abolish_SomeOne","You destroyed {0}'s Kungfu"
"Common_TakeHead_SomeOne","Due to your Stained aura, the word got out that you took {0}'s head"
"Common_Kill_SomeOne_InCombat","You executed {0}"
"Common_Grab_SomeOne","You were spotted looting {0} and the word spread"
"Common_Attitude_Up","Affinity Up"
"Common_Attitude_Down","Affinity Down"
"Common_Relation_Apply_300","{0} and {1} started a Feud"
"Common_Relation_Apply_302","{0} and {1} started a Grudge"
"Common_Relation_Apply","{0} and {1} started a Feud"
"Common_Attitude_Up_1","{0}'s Affinity to {1} went up"
"Common_Attitude_Down_1","{0}'s Affinity to {1} went down"
"Common_Spread_Msg_Tips","Spread this news?"
"Common_AI_Cur","Currently"
"Common_overseas","Overseas"
"Common_Say_Hi","Greet"
"Common_Command","Team up"
"Common_Not_Comprehend","Not acquired"
"Common_Monster_Name_1","Sr."
"Common_Monster_Name_2","Jr."
"Common_Monster_Name_3","III"
"Common_Monster_Name_4","IV"
"Common_Monster_Name_5","V"
"Common_Monster_Name_6","VI"
"Common_Monster_Name_7","VII"
"Common_Monster_Name_8","VIII"
"Common_Monster_Name_9","IX"
"Common_Monster_Name_10","X"
"Common_Monster_Name_11","XI"
"Common_Half","Half"
"Common_Unknown","Unknown"
"Common_Fabricator","(Made-up)"
"Common_AttiToMe","Affinity"
"Common_Specialties","Specialties"
"Common_MapTag","Mark Location"
"Common_Position","Location"
"Common_SplitEquip","Decompose equipment"
"Common_Other_Taget","The Other Person"
"Common_Leave","Leave"
"Common_Empty_Pos","Vacant Seat"
"Common_Input_XiuWei","Instill Kungfu Insight"
"Common_Recycle","Retrieve"
"Common_Captive","Corral"
"Common_Love_Title","Share a bed and dreams"
"Common_Food","food"
"Common_Human_Num","{0}"
"Common_In_Operating","Open"
"Common_Free","[Free]"
"Common_Value_Max","<ArguNameMax>（The upper limit）</>"
"Common_Store_Atk","（Have been stored <ArguNum>{0}</> saliva）"
"Common_Allow","Allow"
"Common_Reject","Reject"
"Common_Blow_Up","enlarge"
"Common_Lessen","Show"
"Common_Select","choose"
"Common_Add_Attact","{0} increase {1}"
"Common_Btn_Unlock","Unlock"
"Common_Btn_Item","Crafting"
"Common_Btn_Equip","Weave"
"Common_Btn_Weapon","Forge"
"Common_Btn_Cook","Cooking"
"Common_Switch_Unlock","Unlock"
"Common_Switch_Lock","Lock"
"Common_Paper_Item","Craft Formula"
"Common_Paper_Equip","Weave Formula"
"Common_Paper_Weapon","Forge Formula"
"Common_Paper_Cook","Cooking Formula"
"Black_Desc_Gong_Ren","{0} The screen gas is condensed, the hands are swords, and after a thunder that sounds through the sky, {1} has become incomplete person ..."
"call_desc_gender_0","Warrior"
"call_desc_gender_1","Warrior"
"call_desc_1","You"
"call_desc_good_2_1","Dad"
"call_desc_good_2_2","Papa"
"call_desc_good_2_3","Pops"
"call_desc_good_2_4","Father"
"call_desc_good_3_1","Mother"
"call_desc_good_3_2","Mum"
"call_desc_good_3_3","Ma"
"call_desc_good_4_1","Darling"
"call_desc_good_4_2","Sweetheart"
"call_desc_good_4_3","Dearest"
"call_desc_good_4_4","Love"
"call_desc_good_4_5","My Lord"
"call_desc_good_5_1","My Lady"
"call_desc_good_5_2","Dearest"
"call_desc_good_5_3","Sweetheart"
"call_desc_good_5_4","Love"
"call_desc_good_6_1","Brother"
"call_desc_good_6_2","Brother"
"call_desc_good_6_3","Bro"
"call_desc_good_7_1","Little brother"
"call_desc_good_7_2","Lil bro"
"call_desc_good_8_1","Sis"
"call_desc_good_8_2","Sis"
"call_desc_good_9_1","Little sister"
"call_desc_good_9_2","Lil sis"
"call_desc_good_10_1","My boy"
"call_desc_good_10_2","Son"
"call_desc_good_10_3","Kiddo"
"call_desc_bad_10_1","Thankless brat"
"call_desc_bad_10_2","Ungrateful brat"
"call_desc_good_11_1","Dear"
"call_desc_good_11_2","Sweetie"
"call_desc_good_12_1","Senior Brother"
"call_desc_good_13_1","Senior Sister"
"call_desc_good_14_1","Junior Brother"
"call_desc_good_15_1","Junior Sister"
"call_desc_good_16_1","Brother"
"call_desc_bad_17_1","You jerk"
"call_desc_good_18_1","Master"
"call_desc_good_20_1","Darling"
"call_desc_bad_20_1","Cheater"
"combat_panel_1","Cast Zone"
"combat_panel_2","Move Counter"
"combat_panel_3","{0} release"
"combat_change_defender_tips","Opponent switched to 「{0}」"
"combat_jiao_xun","Teach a lesson"
"combat_rao_shu","Show mercy"
"combat_ji_yun","Knock out"
"combat_xia_zhong_shou","Ruthless bashing (Little Enmity)"
"combat_fei_chu","Destroy Kungfu (Grudge)"
"combat_suo_yao","Demand item"
"combat_fa_jin","Collect fines {0}"
"combat_fang_guo","Let it go (Grateful +100)"
"combat_zhi_liao","Help heal (Grateful +150)"
"Combat_Result_Message_0","After some deliberation,{0} decides to knock you out"
"Combat_Result_Message_1","After some deliberation,{0} decides to break your legs"
"Combat_Result_Message_2","After some deliberation,{0} decides to destroy your Kungfu"
"Combat_Result_Message_3","After some deliberation,{0} decides to demand items from you"
"Combat_Result_Message_4","After some deliberation, {0} decides to let you go. Affinity down."
"Combat_Result_Message_5","After some deliberation,{0} decides to heal your wounds"
"Combat_Result_Message_7","{0} decide to take the fine"
"Combat_Result_Message_8","{0} decide to fight your legs and take away the fine"
"Combat_Result_Message_9","{0} Decided to close you into the dungeon"
"Combat_Result_Message_10","{0} decide to close you into the dungeon and pierce the pipa bone"
"Combat_Result_Message_11","{0} decide to close you into the dungeon, pierce the pipa bone, wait for the chop"
"Combat_target_die_message","You may kill the opponent with your attack. Apply less power and spare them?"
"target_die_msg_confirm","Show mercy"
"target_die_msg_cancel","Execute"
"Tianshu_Combat","Battle"
"Tianshu_BUFF","Status"
"Tianshu_Jingmai","Meridian"
"Tianshu_Facility","Facilities"
"Tianshu_Sect","Sect"
"Tianshu_Interact","Interaction"
"Tianshu_Tile","Land Mass"
"Tianshu_None","Heavenly Scrolls will be collected with your Trials. You can check them at any time when you run into problems."
"Deal_Title","Exchange"
"Deal_My_Item","My Items"
"Deal_Other_Item","Opponent’s Items"
"Deal_My_Skill","My Skills"
"Deal_Other_Skill","Opponent’s Skills"
"Deal_My_Equip","My Gear"
"Deal_Other_Equip","Opponent’s Gear"
"Deal_Confirm","Confirm Exchange"
"Deal_Cancel","Cancel Exchange"
"Deal_Status_0","What do [#1you] want to exchange for?"
"Deal_Status_1","Deals!"
"Deal_Status_2","That's not enough. I can't run a business at a loss!"
"Deal_My_Deal_Reward","My exchange revenue"
"Deal_Need_Item","Required Items"
"Deal_Info_Tips","Other’s satisfaction points for the exchange"
"Deal_Info_Tips_1","Other’s satisfaction points for the items"
"Deal_Lose_Attitude","You took advantage of {0}’s Affinity toward you to profit in the Exchange. His affinity toward you has decreased. \\n{1}"
"Deal_Desc","Fair Exchange"
"Deal_Alms_0","Please, do you have something to spare?"
"Deal_Alms_1","Thank you so much! Thank you so much! !"
"Deal_Balance_Tips","Click to make up the difference with Coins"
"Deal_Steal_value","<Huang22>You can steal another {0} worth of items (based on Geomancy Lv.)</>"
"Search_Other_Item","Container Items"
"Search_Other_Skill","Container Skills"
"Search_Other_Equip","Container Gear"
"Search_Take_All","Take All"
"Search_Put_All","Place All"
"Search_Take_All_1","Take All {0}"
"Search_Put_All_1","Place All {0}"
"Search_Finish","Confirm"
"Search_Cancel","Cancel"
"Item_My_Item","My Items"
"Item_Move_Item","Move Item"
"Item_Select_Item","Select Item"
"Item_Rotate_Item","Rotate Item"
"Item_Select_Num","Select Quantity"
"Item_All_Price","Total Value"
"ZhiZuo","Produce"
"need_resource","Required Resources"
"ZhiGu","Make Toxin"
"item_use_btn_name_93002","Summon"
"item_use_btn_name_93010","Open"
"place_item_desc","<ItemTipNameGray>Placing: </><ItemTipNameGreen>{0}</> <ItemTipNameGray></> <ItemTipNameGreen>{1}</> <ItemTipNameGray>Left</>"
"Item_Include_Item","Contents"
"Demand_Desc","Crafting Requirement"
"Demand_Unlock_Desc","Unlock Requirement"
"Skill_Up_Exp_Desc","「Kungfu Insight」 {0}"
"Skill_Up_Max_Desc","Max"
"Craft_Base_Formation","Basic Materials"
"Craft_Item_Formation","Required Materials"
"Craft_Extra_Formation","Extra Materials"
"Craft_Btn_210006","Forge"
"Craft_Btn_None_210006","Insufficient Abilities. Unable to forge"
"Craft_Btn_210009","Produce"
"Craft_Btn_None_210009","Insufficient Abilities. Unable to produce"
"Craft_Btn_210010","Weave"
"Craft_Btn_None_210010","Insufficient Abilities. Unable to weave"
"Craft_Btn_210011","Craft"
"Craft_Btn_None_210011","Insufficient Abilities. Unable to craft"
"Craft_My_Product","My Gear"
"craft_part_name_0","Weave Hats"
"craft_part_name_1","Weave Clothes"
"craft_part_name_2","Weave Pants"
"craft_part_name_3","Forge Weapons"
"craft_part_name_4","Craft Concealed Weapons"
"craft_ability_desc_0","Can use when {0} Ability is acquired"
"craft_ability_desc_1","Requires {0} Ability (Beginner)"
"craft_ability_desc_2","Requires {0} Ability (Expert)"
"craft_ability_desc_3","Requires {0} Ability (Veteran)"
"craft_ability_desc_4","Requires {0} Ability (Master)"
"craft_ability_desc_5","Requires {0} Ability (Guru)"
"craft_ability_desc_6","Requires {0} Ability (Sage)"
"split_btn_text","Research"
"split_exp_desc","Can get Research EXP"
"split_desc","Put gear in the Dismantling Research"
"split_desc1","Dismantle to obtain materials"
"Item_get_desc","Obtain <TDName>{0}</>x{1}"
"Equip_get_desc","Obtained {0} x{1}"
"Destiny_Active","Awakened"
"Destiny_UnActive","Unawakened"
"Destiny_Lock","Locked"
"Destiny_point","Karma Points"
"Destiny_Add","Add"
"Destiny_Cost","Consume"
"Destiny_Task_Finish","Achieved"
"Destiny_Task","Karma Objectives"
"Desctiny_Unlock_Task","Unlock Objectives"
"Destiny_Active_Destiny","Awaken Karma"
"Destiny_Unlock_Destiny","Locked Karma"
"Destiny_Point_To_ZhenQi_Tips","Unused Karma Points are converted to {0} Chi."
"Depend_Prop_zhangfa_attack","Palm ATK"
"Depend_Prop_quanfa_attack","Fist ATK"
"Depend_Prop_tuifa_attack","Kick ATK"
"Depend_Prop_bingqi_attack","Weapon ATK"
"Depend_Prop_anqi_attack","Concealed Weapon ATK"
"Effect_Desc_42024","Attacks <dmg>7</> times consecutively,dealing <dmg>{0}</> DMG each time."
"Effect_Desc_42100","Deals <dmg>{0}</>x {1} DMG and inflicts <dmg>{2}</> stacks of <TipGreenOutLine>Cold</> on opponent"
"Effect_Desc_42101","Deals <dmg>{0}</>x {1} DMG and inflicts <dmg>{2}</> stacks of <TipGreenOutLine>Poison Gas</> on opponent"
"Effect_Desc_42102","Deals <dmg>{0}</>x {1} DMG and inflicts <dmg>{2}</> stacks of <TipGreenOutLine>Heat</> on opponent"
"Effect_Desc_42103","Deals <dmg>{0}</>x {1} DMG and inflicts <dmg>{2}</> stacks of <TipGreenOutLine>Drunk</> on opponent"
"Effect_Desc_42105","Deals <dmg>{0}</>x {1} DMG. Inflict in the order of <TipGreenOutLine>Lampworm</>, <TipGreenOutLine>Bloodworm</>, <TipGreenOutLine>Loveworm</>, and <TipGreenOutLine>Deathworm</> to take effect."
"Effect_Desc_42106","Deals <dmg>{0}</>x {1} DMG, then changes all the Moves in hand into Concealed Weapons"
"Effect_Desc_42107","Deals <dmg>{0}</>x {1} DMG. For each <dmg>{2}</> stacks of <TipGreenOutLine>Cold</> opponent has, increases <dmg>{3}</> additional Moves on opponent's random Skill."
"Effect_Desc_42117","Restores <dmg>{0}%</> Vigor"
"Effect_Desc_42118","Deals <dmg>{0}</>x {1} DMG and doubles opponent's <TipGreenOutLine>Heat</> stacks (up to <dmg>{2}</> stacks)"
"Effect_Desc_42119","Deals <dmg>{0}</>x {1} DMG and draws <dmg>{2}</> Kick Moves"
"Effect_Desc_42120","Deals <dmg>{0}</>x {1} DMG. For every <dmg>1</> animal you tamed, increases number of hits by <dmg>1</> (Up to <dmg>{2}</>)."
"Effect_Desc_42121","Deals <dmg>{0}</>x {1} DMG. Deals <dmg>{2}</> extra DMG based on the total stacks of <TipGreenOutLine>Drunk</> on both parties."
"Effect_Desc_42122","Deals <dmg>{0}</>x {1} DMG and steals <dmg>{2}</> Moves from opponent"
"Effect_Desc_42123","Deals <dmg>{0}</>x {1} DMG"
"Effect_Desc_42124","Deals <dmg>{0}</>x {1} DMG. If opponent's <TipGreenOutLine>Misfortune</> stacks are above <dmg>{2}</>, inflicts <dmg>1</> stack of <TipGreenOutLine>Ordeal Sigil</> on opponent."
"Effect_Desc_42125","Deals <dmg>{0}</>x {1} DMG and draws <dmg>{2}</> Moves from the top of the Move Deck"
"Effect_Desc_42126","Deals <dmg>{0}</>x {1} DMG and inflicts <dmg>{2}</> stacks of <TipGreenOutLine>Acupoint Block</> on opponent"
"Effect_Desc_42127","Deals <dmg>{0}</>x {1} DMG and inflicts <dmg>{2}</> stacks of <TipGreenOutLine>Misfortune</> on opponent"
"Effect_Desc_42128","After every <dmg>{0}</> casts, DMG is increased by <dmg>{1}</>. When there's no Kick on the battlefield, you can use this Skill <dmg>1</> time for free next turn."
"Effect_Desc_42129","Deals <dmg>{0}</>x {1} DMG and inflicts <dmg>{2}</> stacks of <TipGreenOutLine>Poison Gas</>"
"Effect_Desc_42130","Deals <dmg>{0}</>x {1} DMG and restores Vigor equal to <dmg>{2}</>x <TipGreenOutLine>Cold</> stacks on opponent"
"Effect_Desc_42131","Deals <dmg>{0}</>x {1} DMG. Increases number of hits by <dmg>1</> for every <dmg>{2}</> stacks of <TipGreenOutLine>Cold</> on opponent."
"Effect_Desc_42132","Deals DMG equal to <dmg>{0}</>x <TipGreenOutLine>Venom Ailments</> you have"
"Effect_Desc_42133","Deals <dmg>{0}</>x {1} DMG and draws <dmg>1</> Move. Based on the sum of <TipGreenOutLine>Drunk</> stacks on both sides, each <dmg>{2}</> stacks grant <dmg>1</> draw."
"Effect_Desc_42134","Deals <dmg>{0}</>x {1} DMG and gains <dmg>{2}</> stacks of <TipGreenOutLine>Drunk</>. Every time you lose <dmg>10%</> Vigor, you gain <dmg>{3}</> stacks of <TipGreenOutLine>Drunk</>."
"Effect_Desc_42135","Deals <dmg>{0}</>x {1} DMG and lures opponent. You are able to break opponent's every move in this fight."
"Effect_Desc_42136","Deals <dmg>{0}</>x {1} DMG. When opponent's <TipGreenOutLine>Heat</> stacks are above <dmg>{2}</>, destroys one gear."
"Effect_Desc_42137","Throws out half of the Coins. Each <dmg>{0}</> Coins deals <dmg>1</> DMG."
"Effect_Desc_42138","Deals <dmg>{0}</>x {1} DMG and swallows the <TipGreenOutLine>Toxins</> on opponent. Each <TipGreenOutLine>Toxin</> grants extra <dmg>{2}</> Vigor and Max Vigor."
"Effect_Desc_42139","Deals <dmg>{0}</>x {1} DMG and inflicts <dmg>{2}</> stacks of <TipGreenOutLine>「Spike」</> on yourself"
"Effect_Desc_42140","Grants yourself <dmg>{0}</> stacks of <TipGreenOutLine>「Golden Shield」</>"
"Effect_Desc_42141","Imitate one of the opponent’s Skills"
"Effect_Desc_42142","Deals <dmg>{0}</>x {1} DMG and reduces required Moves for <dmg>1</> random Skill"
"Effect_Desc_42143","Deals <dmg>{0}</>x {1} DMG and grants <TipGreenOutLine>Crit</> to <dmg>{2}</> Moves "
"Effect_Desc_42144","Deals <dmg>{0}</>x {1} DMG and randomly draws <dmg>{2}</> Moves from the Moves you have used"
"Effect_Desc_42145","Deals <dmg>{0}</>x {1} DMG. For every Enmity in Relations, increases number of hits by <dmg>1</> and reduces Moves required by <dmg>1</>\\n[Requires <TipGreenOutLine>Cold-blooded</>]"
"Effect_Desc_42146","Deals DMG equal to <dmg>{0}</>x Max Chi. Can only be used once a duel."
"Effect_Desc_42147","Deals <dmg>{0}</>x {1} DMG. Reduces the Moves required to cast another random Skill. For each additional Intimacy in Relations, reduces the Moves for casting this Skill by <dmg>1</>."
"Effect_Desc_42200","Expends <dmg>30%</> Vigor and gains <dmg>{0}</> stacks of <TipGreenOutLine>Spike</> for every <dmg>100</> Vigor spent"
"Effect_Desc_42201","Deals <dmg>{0}</>x {1} DMG. <TipGreenOutLine>Spikes</> are not removed this turn."
"Effect_Desc_42202","Deals <dmg>{0}</>x {1} DMG. <TipGreenOutLine>Spikes</> trigger <dmg>{2}</> times this turn."
"Effect_Desc_42203","Deals <dmg>{0}</>x {1} DMG. Deals extra DMG equal to <dmg>{2}</>x <TipGreenOutLine>Spike</> stacks you have."
"Effect_Desc_42210","Deals <dmg>{0}</>x {1} DMG. Your Fist and Palm Counter Weapons this turn."
"Effect_Desc_42211","Deals <dmg>{0}</>x {1} DMG. Increases DMG by <dmg>{2}%</> whenever you use this Skill. "
"Effect_Desc_42212","Deals <dmg>{0}</>x {1} DMG and redraws Normal Moves"
"Effect_Desc_42213","Deals <dmg>{0}</>x {1} DMG and inflicts random Debuffs on opponent based on the number of Concealed Weapon Moves they have used this turn"
"Effect_Desc_42214","Deals <dmg>{0}</>x {1} DMG. For every activated Skill, deals <dmg>{2}</>x Weapon DMG."
"Effect_Desc_42215","Deals <dmg>{0}</>x {1} DMG to all enemies. Increases DMG by <dmg>{2}%</> for every additional <dmg>1</> enemy hit.  "
"Effect_Desc_42220","Deals <dmg>{0}</>x {1} DMG and delivers <dmg>{2}</> extra {3} this turn"
"Effect_Desc_42221","Deals <dmg>{0}</>x {1} DMG and delivers <dmg>{2}</> extra {3} this turn"
"Effect_Desc_42222","Deals <dmg>{0}</>x {1} DMG and delivers <dmg>{2}</> extra {3} this turn"
"Effect_Desc_42223","Deals <dmg>{0}</>x {1} DMG and delivers <dmg>{2}</> extra {3} this turn"
"Effect_Desc_42224","Deals <dmg>{0}</>x {1} DMG and delivers <dmg>{2}</> extra {3} this turn"
"Effect_Desc_42225","Deals <dmg>{0}</>x {1} DMG to all enemies. Increases Palm DMG by <dmg>{2}</>x for every <dmg>1</> additional Move delivered via Skills this turn."
"Effect_Desc_42230","Deals <dmg>{0}</>x {1} DMG and removes <dmg>{2}</> random opponent Moves. Moves removed can be used to activate your Skills. Can be used <dmg>{3}</> times per battle."
"Effect_Desc_42231","Deals <dmg>{0}</>x {1} DMG and removes one random type of opponent Moves"
"Effect_Desc_42232","Deals <dmg>{0}</>x {1} DMG and replaces one random type of Moves delivered by the opponent with another type"
"Effect_Desc_42233","Deals <dmg>{0}</>x {1} DMG. Shuffle the opponent's Moves into your Normal Moves on the field, then evenly redistribute."
"Effect_Desc_42234","Deals <dmg>{0}</>x {1} DMG. Increases Skill DMG by <dmg>100%</> for every <dmg>1</> more Normal Move you have on the field than the opponent's Moves. "
"Effect_Desc_42240","Grants yourself 1 stack of <TipGreenOutLine>「Star Transfers」</>"
"Effect_Desc_42241","Grants yourself 1 stack of <TipGreenOutLine>「Flower Transposition」</>"
"Effect_Desc_42242","Deals <dmg>{0}</>x {1} DMG and removes <dmg>{2}</> stacks of each of your buffs"
"Effect_Desc_42243","Deals <dmg>{0}</>x {1} DMG. Removes <dmg>{2}</> stacks of each of your buffs, and increases Skill DMG by <dmg>{3}%</> for each stack removed."
"Effect_Desc_42244","Deals <dmg>{0}</>x {1} DMG. Removes <dmg>{2}</> stacks of each of your buffs, and restores <dmg>{3}</> Vigor for each stack removed. "
"Effect_Desc_42250","Deals <dmg>{0}</>x {1} DMG and changes <dmg>{2}</> random undelivered Moves into <dmg>1</> Void Move"
"Effect_Desc_42251","Deals <dmg>{0}</>x {1} DMG and changes <dmg>{2}</> random Technique Moves on the field into Void Moves"
"Effect_Desc_42252","Deals <dmg>{0}</>x {1} DMG. For every <dmg>1</> Void Move you have on the field or undelivered, number of hits <dmg>+1</>"
"Effect_Desc_42253","Deals <dmg>{0}</>x {1} DMG. For every <dmg>{2}</> Weapon Moves you have on the field, create <dmg>1</> Void Move on the field."
"Effect_Desc_42254","Deals <dmg>{0}</>x {1} DMG to all enemies. Redraw Moves based on the number of Moves on the field."
"Effect_Desc_42260","Dao guards the cosmos, life's parting it unfolds."
"Effect_Desc_42261","Dao divine and sacred, the profane shall evade."
"Effect_Desc_42262","Dao finds horizons, transgressors it unbinds."
"Effect_Desc_42263","Rise and fall Dao discerns, defiance shall meet its end."
"Effect_Desc_42264","Birth and ruin Dao beholds, strife and life in one flow."
"Effect_Desc_42300","Deals <dmg>{0}</>x {1} DMG"
"Effect_Desc_42301","Deals <dmg>{0}</>x {1} DMG"
"Effect_Desc_42302","Deals <dmg>{0}</>x {1} DMG"
"Effect_Desc_42303","Deals <dmg>{0}</>x {1} DMG"
"Effect_Desc_42304","Deals <dmg>{0}</>x {1} DMG"
"Effect_Desc_42305","Deals <dmg>{0}</>x {1} DMG"
"Effect_Desc_42306","Deals <dmg>{0}</>x {1} DMG"
"Effect_Desc_42307","Deals <dmg>{0}</>x {1} DMG"
"Effect_Desc_43000","Deals <dmg>{0}</>x {1} DMG"
"Effect_Desc_43001","cause <dmg>{0}</> The damage of times {1} has a chance to make the goal become incompetence"
"skill_prop_xuan_yin_zhenqi_lv","\\n\\n<ZQ_XuanYin>「Chi of the Moon」 Bonus</>"
"skill_prop_chun_yang_zhenqi_lv","\\n\\n<ZQ_ChunYang>「Chi of the Sun」 Bonus</>"
"skill_prop_sha_du_zhenqi_lv","\\n\\n<ZQ_DuSha>「Chi of Venom」Bonus</>"
"skill_prop_hun_yuan_zhenqi_lv","\\n\\n<ZQ_HunYuan>「Chi of Harmony」 Bonus</>"
"Skill_Learning","「{0}」\\nAcquiring"
"Neigong_Learning","「{0}」 Acquiring"
"Learned_Skill","Acquire Skills"
"Learned_NeiGong","Acquire Inner Kungfu"
"Learned_Ability","Acquire Abilities"
"Learned_Destiny","Unlock Karma"
"Unlock_SandBox","Unlock Sandbox Mode"
"Learned_Argument","Unlocking Nozzle"
"neigong_name_190000","Breathing Skill"
"neigong_name_190007","Freeze Spell"
"neigong_name_190009","Heart-burning Spell"
"neigong_name_190010","Drunken Immortal"
"neigong_name_190024","Yi Jin Jing"
"neigong_name_190025","Poison Proof Spell"
"neigong_name_190026","Art of Heartflame"
"neigong_name_190027","Tranquility Spell"
