"# 文本key","文本value"
"string","string"
"53c53dd5a9a5c285f3b5ddef10d451f4","Encountered {0}{1}, who asked for my help, but I refused."
"94a5d32f3c44abc352919913016e5b70","While being pursued by enemies, I encountered {0}{1}, but they paid me no heed."
"132aadeea1adbec6fd73a76b9ea72761",". . ."
"b9a84afdb69bffbdc69432f9cccb4e77","I can judge by his tone that he's up to no good. I should help the girl."
"184edf107672661e6ad0877601e56f20","Why invite trouble for the sake of a stranger?"
"962fb45d862a741b622877a2ba4927cb","Have you heard? There is a bandit force nearby and they are doing evil. I hope there are heroes who can destroy them, otherwise life will be really difficult."
"b1f8288af0a2cd45e37bb186260c514b","It is our duty as chivalrous men to do so."
"36d5442ad05cc2f7a993592c865a66aa","It has nothing to do with me, I just want to be alone."
"542137d0f596b714c2554cdc85fa6b88","Okay ... people have their own aspirations, I don't want you."
"3fbc582d6b24e843fb3eddb2c96a377f","Who threw a banana peel here! Darn it!! Wait, I found some coins, haha."
"4c8f7e3f22661b1bd76a160d68ea2c8d","Phew! Lucky me! Good stuff seems to find me even when I'm chopping a tree! <TDName>(Obtained Crafting Insight)</>"
"632fec3d8370bd04be31b6ed886ecd51","Phew! Lucky me! Good stuff seems to find me even when I'm chopping a tree! <TDName>(Obtained Coins)</>"
"a3b69801bc2d4f5d990cd2bdc1bea8f8","Such bad luck! <TDName>(Obtained Poo)</>"
"f61cdce8070cce68f741771d2d9e807d","How lucky! <TDName>(Obtained Astringent)</>"
"4c9ebc3851aea2e927fdf615b832e3a3","Such bad luck! <TDName>(Obtained Chi Refill Plaster)</>"
"475550fc985e73bb6d9e36b14e4da04e","How lucky! <TDName>(Obtained Wine Jar)</>"
"f7fb381bf1a3e5b4226e903b9e4e10de","How lucky! <TDName>(Obtained Medicine Insight)</>"
"faab167270b0fbb0c4b05ac4306aeda5","You must work hard, and in the future, I'll hand over this position to you."
"211f37512fe6317fad0a043a50a88a56","You're the master, feel free to sit wherever you please."
"9232a6ce3e3725509d83771ca8f8c727","How does it feel! This is what I've got for you! ! !"
"17c6bbf14e5ae1c9e0cbaee899443c37","Is this seat comfortable? <TDName>(Dislike +50)</>"
"0c215f107ef4ad0beb83efab6d38ae54","Don't you see whose seat this is? <TDName>(Dislike +20)</>"
"138becc5219d5220826025573d0080a7","That's impressive! You've already passed the beginner stage. Keep practicing more."
"3241afa4cf5ac3453759bbc020aa9dec","You're already Expert in Techniques. Keep up the good work!"
"ab64b34d0de5cb203ec0cdea707e0800","Hello, Champion!"
"560515c562945ebbb3ba95e9cd5be9cb","Greetings, Champion!"
"4bcd80464b6b3252640bb80ef8f9e995","Hello, Champion!"
"3f415a9ae530510cf35c7cf40e725b5d","Hail to the Champion!"
"36e36a4d9828f29fe820c403eefe2edd","Someone is doing evil, everyone help me!!"
"5627d8bf70bf5ff9c536d91c6cb7f113","Let me help you!"
"dd339d4aafdceff460379bdb3023ab48","Stop it!! Let's go together!"
"f0abb22f9477067a79771a3a92f9b71f","The next target!  Haha"
"585eba51ba357b7377fa3532d3ee69dc","Stop right there! Hand over your money!"
"f59565d49fae33839d77ef61e590bef2","Wretched bandits! !"
"6765ebd421c502ab0b0d74626f0f0b11","We must rid ourselves of these bandits! !"
"a39416a180ce0a9878c8ad499c501902","Dreaded bandits! I'll face you! !"
"8f81d8d6b7e0b6d8a9ca75e28a08ca46","Everyone, let's fight back together! Protect the village!"
"a9ff3e5b90ecde184318cfab24bbe1fa","Dreaded bandits! !"
"10cd5fd16508a84019a556345c32582f","This scoundrel here! I saved him, and now he's trying to rob me! He's truly heartless!"
"a6c4e1b64e20f2bc32be99c0bfff53a7","Treating my dad like this, he's a complete bad guy!"
"3d31cacd64b4b7da2d35dcdbb84e6b9f","He doesn't appear to be a good person at all!"
"a8ef4f763744218a7401d23a98fe82bf","This scoundrel here! I saved him, and now he's trying to rob me! He took my house! What a heartless beast!"
"1b3d0b6e8b11fb6ffa99161ec8038b7d","Easy money, haha."
"2d4e75968f111c5a83424ce865640b8a","I became incapacitated, and {0}{1} tried to imprison me."
"83dfaef57074267b8799270c43214dd8","Restricted area! No unauthorized entry allowed!"
"2051940bccd51f361f7b8074d2efc53f","You cannot proceed any further! Please leave! !"
"e933dbbb4d07a2f9644a71d4503a74ef","Sect's territory! Please refrain from advancing!"
"8f3706a28d2c23ece2f80ed1a087f292","I've already given you two warnings. Leave right now."
"0ae18c488626bb866d95362376b48460","If you don't leave, I'll be forced to take action! !"
"a0571e161aa09966d52112be5ff5b2e6","Why haven't you left yet? This is your last warning!"
"f644e7149b069591c6561bd1c93eed66","I've already warned you. Now, we need to detain you as a minor punishment, and we'll release you later."
"37057fa24c42f247cc22858c37d94a82","Okay, you're free to go. Leave now, or we might still have to arrest you!"
"9eafb3b1c6da299cb2f923894678718e","How dare you destroy the banner of my sect!!"
"77084274bcc2d3e769729331921f7846","stop!!!"
"45f9249349c84f8fd81dc5606b5a7353","Where did you come from, a thief!! Stop!"
"d4624cd8b7a310ffddede5de0312ad2d","Let's go together! Guard the sect!!"
"b7fe22c34563c38ddd6c0ca7b4e46346","Good day, master!"
"422757e44dda00764bfa6b39bfca0ef4","Hello, master!"
"2a16a90ff0212fb0bc3b06b775eb6406","Greetings master!"
"15c85a17a6d7bb949be26a46a196ac6b","Greetings, master!"
"4388b513685313ae5edd9c8004e94ccf","Don't splash water on me!"
"731cd5b62e42fda4e926a4884ee1261f","Why are you so naughty? My clothes are soaked now, forget it."
"72e1735d987763251b80bab427d5974d","Oh bollocks! I won't take my clothes off no matter how wet they are!!"
"6ffe67cb036ca95d70fca7c51e27f340","Well, it's a good time for a bath, haha."
"b893d7b3e376bd55b57cb531be730651","Don't spill!! It's freezing"
"7be067377115078c993e3c24b7b94d40","Life is short, Carpe diem! A pot of sake, a relaxed!"
"8b73db4d56a73866a3005759f69ad8d6","The world is cold, only this pot alone to drink, the true solution is all worldly troubles!"
"5e746ddda051e6a7fd2fc20ee7d9fa9c","Things change, carpe diem, and I'll drink this one!"
"4a52c89f9f664586232207ec3c41bf60","Life is geometric, carpe diem, don't lose your happiness!"
"e13121eca6e76e6edb6d9c12c8a152bc","It's not me who lives or dies. Enjoy in time and live in time."
"36ee0f4ee01e0d6edc96703f27405a24","It would be great if you could save him."
"9b614926ca77e48be0c89b00cac9661c","This man has committed many evils and cannot be saved."
"66e5c2a751f629ece593e2e1f14d82f6","Stop! Where are you taking people?!"
"9503763bc7f4cbf9329b8ff8333d76c0","If you do too much unrighteousness, you will die yourself. Oh, it's better to die."
"8e965c8537ce6e718ad44d90b820f2bc","Xianggong, what are you doing squatting there?"
"25628ce66b7e0435a100361b08d314c1","Madam, what are you squatting there for?"
"f4e2364e1895db770a086ee9a4ff554c","What are you hiding there for, kid?"
"057e1ba2392e7b88107200a586a17739","Child, it's not good for you to be seen like this."
"e8a8b384d475f64d977245a3db2fe23a","Father, what are you squatting there for?"
"e9ea986d1f974da57cb61738d55c46d0","Father, it's not good for you to be seen like this!"
"57a3f32694ec1b94eb40f5f6ca5bc7d2","Mom, what are you squatting there for?"
"4b53fb881cbf7249786c67117d68ea93","Mother, don't squat there anymore."
"767b01391332e02ab52bfddeed790e53","Hurry up and don't be seen by others."
"2dddc49655520d383c56256712fdc4e0","Master, have you found the enemy?"
"2448fd93a70804b3f187041cddd206fa","Master, what is this about?"
"7f92776f87ba714a7ba56a004838982e","Hmm? Are you practicing hidden martial arts?"
"222229a16deafee45e26f983b50121d1","What are you hiding there for."
"1b6b77170d786d38ab1da6827c4d8838","Sneaky! What are you doing??"
"5db91a8b6709c533c4904b39378dcb16","Strange, why is there no one when there is clearly movement?"
"8211564b536a4eb6aa5b4cca1b798874","What do you mean!! Let me go!!"
"999ddc59386ae5f88bab0b7566294c2b","Is there something wrong with you? What do you want to do to me?! ?"
"0631d2069e55c752099a17b572c3eaf9","Let me out of here!"
"d8bcdf512eb502a837d3cb7b91bd7b46","Leave me alone... I dare not do it again."
"5f9fbc8479c98dc0a0bca4b765bd766d","Hoo ho, it's so hot, so hot, water, where's the water! Where's the water!"
"735bbbe2e39bc9a3cd50785c9129c1e1","Hoo ho, it's so cold, so cold, I need to find a place to warm up."
"237c929808d16ac87f107e404a63030f","Why do you feel so unlucky lately?"
"a117aa87cea18ae6106fedc3356282b0","Lords, have mercy. I've gone three days without anything to eat."
"303bf42e7b700a08fef3d41c7bb29128","In the capital lives Huang Biaosan,\\nWho eats and dresses most fine. \\nA loan shark he is all his life,\\nIn months your principal's thrice. \\nIn his den he preys on borrowers,\\nWhile I manage his tills. \\nCollecting debts he's most brutal,\\nWhile I do the dirty work. \\nTo the North Star his gold glares,\\nBut at death's door, nobody cares. \\nThe lotus falls, the lotus falls."
"391b9b097854944833a4fe94cc07d9c9","Look how parents aren't truly kin,\\nMoney all gifted to others. \\nThree years nursing, yet what's the use,\\nOnce married the son leaves. \\nFine wine and meat for the wife to enjoy,\\nWhile the parents starve to bones. \\nNo rice to spare when they're alive,\\nWho'll tend their grave in death? \\nThe lotus falls, the lotus falls."
"40e3038a73d42ce538654b46028f8e99","Look how brothers aren't truly kin,\\nArguing over scraps not fairly split. \\nSiblings fight over shares,\\nQuarreling over who got more. \\nDrinks shared only with others,\\nAs flesh and blood become foes. \\nThe lotus falls, the lotus falls."
"b545cceab4633a7bf1aaa1217db93d59","Look how spouses aren't truly kin,\\nMarriage arranged through matchmakers. \\nPreferring the rich and despising the poor,\\nShe left her husband down the road. \\nThere's Widow Liu by the west wall,\\nWho waits until fifty to wed once more. \\nWords with your spouse, not all be told,\\nYour whole heart, don't devote. \\nThe lotus falls, the lotus falls."
"7446f4c28261cb4c070bc166df115f73","Look how friends aren't truly dear,\\nFeasting and reveling non-stop.  \\nWords sweet as honey from their lips flow,\\nTaking your money, only to go. \\nOnce wealth and power fade,\\nAffections turn cold. \\nBackstabbing friends behold,\\nSworn brothers, a plain no. \\nThe lotus falls, the lotus falls."
"2dd2125073d38d6ed40dcff05720b0c6","Alas. Business has been so tough lately."
"d4415667a4c7f6b1b6e4c21f7ae1a2b0","This road I carved with my boot! This lumber I grew from a shoot! That's a really popular mantra these days."
"c7701d49d6c2c6909ee6afa6bf0b90c0","Rumors tell of a Flying Rat in our greenwood. \\nOn eaves and walls he lightly treads,\\nThe stealthiest in this world unmatched.\\nStole the court's treasure and south he fled,\\nTo this day no one knows where!"
"eb2a0a0d3ef63d4b2e4254cb3eda4296","How about snatching a woman and making her my wife! Heh heh heh!"
"64115d591543faa933afcd821fc2aed5","How about abducting a man..."
"ae22c4a1e0029fc985ade2cae5f949da","Business is bad lately."
"4647d3ce03a07e9dbb8f128196f5d9e7","Should I find something to occupy myself with?"
"1ba327f93f1bae424ffcae5ac46b9b91","A couple more days' rest doesn't hurt."
"c30f1e3553e8003b3083ccaad6b7430d","A hero shouldn't content himself with trifles."
"b4248ef08c9715aa9d4bbd52509fd640","At noon they weed with hoes,\\nTheir sweat drips on the soil. \\nEach bowl of rice,\\nIs the fruit of hard toil. \\n"
"5439d593090e3ad9dda214cc3e7c101e","A seed is sown in spring,\\nA harvest is reaped in autumn. \\nNo land...no land...What does the poem say next?"
"f90a1cc3f5e50181b8e0ebdde3a42c82","Hope there's a good harvest."
"c3b4b2350f6f825440d048861b135d62","Will I become poor and weary when I grow old?"
"0ae67848bcc5fbc695452fc5b05657c9","Time to go chop some wood. I wonder how much I can sell it for now."
"dfc02cb5044febc6ab5c7b68d3a955a9","Those who fish, cut wood, or till the soil find joy in their labors."
"684f6822d640a7cf58551efa97f9eba7","I have access to some secret information, but my price is quite high."
"b57224ba144561be892012efe4cfc958","How to Become Sage in 「Forge」 Ability?"
"45aa1998d65702c5480591ae02b55561","The Ou Family excels at 「Forge」, but their location is a well-kept secret. 1,000 coins, fair?"
"4fac1ca63fb4975c58f5b18beba9b9f4","I'll pay for this information."
"f039969c6602d1f6c0229acfd6f7d616","It's been a pleasure doing business with you!"
"bb83253a071375d604e5bc6edcb39ef4","Don't have enough coins, decline for now."
"ad73a73c2395add1d9a0ef4d45638a83","It's not a good time right now, ask him to return later."
"694fb08dafcb15d6c2f143e059966bf9","Alright, we'll meet again in the future."
"da56e3bd0e3aa8ccca3ba99295c9b0f3","How to Become Sage in 「Crafting」 Ability?"
"bb99bd7148ece80be4d610b46a889620","The Mo Family excels at 「Crafting」, but their location is a well-kept secret. 1,000 coins, fair?"
"b4aedd1b99d7ce01e555143275846449","How to Become Sage in 「Leechcraft」 Ability?"
"e93af408fd7738abfe5632a360f98097","The Ji Family excels at 「Leechcraft」, but their location is a well-kept secret. 1,000 coins, fair?"
"d07e3e9627b38adf755a353781904a72","How to Become Sage in 「Weave」 Ability?"
"7be20f9209098efa1f1cc39c3c41919d","The Hu Family excels at 「Weave」, but their location is a well-kept secret. 1,000 coins, fair?"
"4ef5d8bcec57c000f4865d6ec0d3c719","How to Become Sage in 「Music」 Ability?"
"912ad86a3bd2fd94577ab12086fc5512","The Shi Family excels at 「Music」, but their location is a well-kept secret. 1,000 coins, fair?"
"e51fcc0fbb76961c6c78d46a47e4ce6d","How to Become Sage in 「Sneak」 Ability?"
"7b3e6f4e8b34e0de242c55b6b0bc5855","The Shi Family excels at 「Sneak」, but their location is a well-kept secret. 1,000 coins, fair?"
"eea241c5ddb64051262285cdc436d94b","How to Become Sage in 「Geomancy」 Ability?"
"d69b93108fe9140cacec55fa818ccc7e","The Liu Family excels at 「Geomancy」, but their location is a well-kept secret. 1,000 coins, fair?"
"0b764f9ca0d9aaee910790241af3b66c","How to Become Sage in 「Beg」 Ability?"
"2c3877b4591de34ae12b57226932a084","The Su Family excels at 「Beg」, but their location is a well-kept secret. 1,000 coins, fair?"
"bd5298834a8789646922c5533f10f40a","How to Become Sage in 「Establishment」 Ability?"
"6589e5acccf4e8a14b9652e0d91292a0","The Gongshu Family excels at 「Establishment」, but their location is a well-kept secret. 1,000 coins, fair?"
"a0951905552b9b49860041e986bcef27","Warrior, do you dare face formidable creatures in treacherous places?"
"58f80b37aca9790bfbd7527861ebcd8c","Accept challenge and ask for locations"
"78ad6899304786ed908140dd29d9f64f","The [Abyssal Ice Loch] is extremely cold, the [Lava Volcano] is scorching, and the [Miasma Ridge] shrouded in poison gas. These regions are extremely dangerous. Please be cautious."
"597a204eea2d09adfd7346622aabd43f","Challenge [Abyssal Ice Loch]"
"192edbf86ec69d255ef5171796baeb8f","Take care!"
"16cb3703534c4be36d9d734f20f48f61","Challenge [Lava Volcano]"
"db2764c76b067a2393df35b97f4d3b83","Challenge [Miasma Ridge]"
"7612cd3c4f863b916a59821578e83d10","I'm not interested. ."
"21b1e477d7544a1846bb24f1f70ff9ef","Thanks for your help. Take these Marrow Refining Pills for your damaged meridians."
"17ba66a3c114cb59535e74d6c289dd9e","Obtained 5 Marrow Refining Pill."
"a0aff3792d4e9546a5f32dd03f7ef674","Thank you."
"c9790b28b9341260940b710c96caf2ea","You've saved my life, so I should treat you well in return."
"ec22f4aa3a0f5bba502dd44627a19914","Please try them."
"6ca3028115ac6af5941debf29c073162","{0}{1} brought me five Marrow Refining Pills to treat my meridians."
"692342b47af8afcb28740e42d182737e","A thousand thanks"
"b305d36f1bfc0eb6dfbdd915999bc4a5","Thank you for saving me. I can't repay you, but I can devote myself to you. But I'm unsure if you have someone dear to you."
"be201746bff192ef4867e1f1d63b2d98","Tell her you already have someone special"
"163c7a6a0a57dbf70055c3f43a7589d8","I understand. I'd be honored to become your sworn sibling if you accept."
"548e8ac18259472cf3a8dbcc8fe3254e","That's exactly what I thought!"
"c8994c8ce146fafb2cffa2b0be06df66","I saved {0}{1} and she became my sworn sibling."
"d7e5e65fb04d6ba1fdc9c672342ad0aa","Brother, please accept this bow."
"3e0550e6b9eaf2ea12c5950d1812656b","You have become sworn siblings."
"bcfbcbf4ab377131a0340e1df61ed0e9","Hi, sis."
"1e23b1540e997fa5bea5354cfd5d4e77","Refuse again"
"08bdaaf5ac65738b3b47dab15694789d","Then... would it be possible to take me as your retainer? I only wish to stay by your side to repay your kindness."
"22f005b9d3e4dba4917dbb202c9a2627","Agree her request reluctantly"
"fb3df79880e866290f359021c3335b5c","I saved {0}{1} and accepted her as my retainer."
"5ac6e2c71848023844c27f2dda844113","Starting today, I pledge to follow and serve you for life."
"0de494c5a0fd55202c1b702dac44a8d4","You've accepted her as your retainer. Trust has increased."
"ac2c8f13c6e60810197b19d683f5f184","Good!"
"7d9109c0f14c0d2f894ade6617903e7f","Harshly refuse"
"300ba77177ff33943227b8c3dc3b9b8f","In that case, I bid you farewell, and I wish you a lifetime of prosperity and peace."
"ce178197e10d28e73b70a19f7c3b6508","I saved {0}{1}, but she wanted to stay with me. I refused, and she left disappointed."
"e0656dacbf29dd1c6a196d90f94f233a","Her sadness has increased."
"87190b2ef188503e28ed212eaf48b6d5","Farewell."
"cdf494ed8f70735a35aba9edb2185d27","Tell her that your beloved has passed away."
"49d37ab7e816fe15cbcdf2242e584644","Master, please don't grieve too much. I believe she also wishes for your happiness."
"0976d278a0cc1c947343ffc1ab741c0f","Thanks."
"2e95a8b2ef20a30b5ab622cb7b293540","Tell her you don't have any intimate relationships."
"9dd6e1fc68a13b29cbe1b52cc390b9af","She is still interested in forming a romantic relationship with me."
"4e0cda58d67034822b363b0163e94cc2","Agree to enter into a romantic relationship with her."
"f071eae9118723201a941eb90f00caed","I saved {0}{1} and she wished to become my romantic partner."
"c7e162c94e9e6b1cfbeb94f94af73ec8","You have entered into a romantic relationship. Her trust in you has increased."
"0218cbc88086353118fea07e364334d4","Happy"
"d93014d970fbd6d51176327d57568771","Kindly decline"
"e2cd79e26aec0c82da3261b3a5934674","For stat-boosting food, check out the Tavern's Wine Shelf, Cargo Ships, or explore different places. You can also improve your cooking abilities."
"308449837f02049f1d8f8a9fd1f27286","Got it, thanks for the info."
"235959c991126474de2535133859a7cf","Interested in learning about the martial arts styles of these emerging sects?"
"70dbc7b158749b05b010c5525a95cef2","Can you tell me more about them?"
"1a41a3528c525f181bec55086624fa1a","<TDName>「Beast Sect」</> Masters of multi-beast stances, nature communication, and taming animals. They harness creature power with deep inner strength. \\n<TDName>「Icy Sect」</> Experts in freeze martial skills, icing foes with a touch. Strikes inflict bone-chilling cold, immobilizing and disarming opponents. \\n<TDName>「Drunk Sect」</> Masters of Art of Drunkness. A single sip unleashes the Drunk Fist, with moves that are deceptive and unpredictable, catching foes off guard. \\n<TDName>「Concealed Weapon Sect」</> Masters of concealed weaponry with unmatched speed and versatility. They unleash storms of hidden weapons, leaving foes defenseless and bloodied. \\n<TDName>「Misfortune Sect」</> Practitioners of dark curses, leading foes into misfortune's vortex. Victims suffer mental breakdown and powerlessness. \\n<TDName>「Flame Sect」</> Cultivators of fiery martial arts with scorching energy. Strikes inflict excruciating burns, leaving victims charred and in agony. \\n<TDName>「Poison Gas Sect」</> Proficient in deadly spells and slow-acting poisons. They afflict foes with insidious poisons, causing gradual debilitation. \\n<TDName>「Toxin Sect」</> Specializes in creature manipulation. They control minds through toxin worm, rendering victims helpless and devoid of self. \\n"
"3725d73dfaf45912b858800a1ad468af","Beast Sect"
"9402798306f7433e2d1943b12af7e21a","This sect is located in the <TDName>「Mount Millibeast」</>, a place surrounded by towering peaks and abundant wildlife."
"9d8f18cd5d5b98fa39bb9d4fe54a8e10","Thanks!"
"08d6585bf533e892b58ca9eda0b8cff3","Icy Sect"
"4836cb08dea2ad2c838514c8d4ea3bee","This sect is located in <TDName>「Mount Beimang」</>, where perpetual snow and ice cover the peaks year-round."
"011fddd37cca8c8ddde73e4b01036efd","Drunk Sect"
"f76b648a27a5e6269e899aff0c45cbfa","This sect is located at <TDName>「Drunken Immortal Lake」</>, a breathtaking paradise renowned for its scenic beauty and the irresistible charm of wine."
"6c173f79e64df2314871f56ae749f863","Concealed Weapon Sect"
"da36eec1f250522d7d1fa05a5a7feccf","This sect is located at <TDName>「Bamboo Pond」</>, an oasis in the vast desert, making it an ideal place to practice concealed weaponry techniques."
"cc79f9bb5a477f77c1e68c950fb8bf74","Misfortune Sect"
"7d60d7de5eb5c299bb8a707eb0acceec","The sect is located at <TDName>「Nine Wolves Burrow」</>, a labyrinthine and desolate wasteland, making it perfect for practicing Misfortune arts."
"dc9a5a966f578975ea061704e83f6a5b","Flame Sect"
"20fa2b52246671ec0c80a649c654eadb","The sect is at <TDName>「Rubycliff Ravine」</>, with scorching, lava-filled terrain perfect for fiery martial arts practice."
"36a4a16d22b8c51a550f2eae317a80bf","Poison Gas Sect"
"05148366f287d950e27e3c69f89347e8","This sect is located at <TDName>「Shadowy Gorge」</>, a swamp teeming with venomous creatures and miasma, perfect for mastering deadly poisons."
"ae9c14f71b2d5acef7ddfb954f35902c","Toxin Sect"
"1c75654ad0220cc126a8c360315444a7","This sect is located at <TDName>「Dragon Ridge Valley」</>, a marshy terrain where toxin arts thrive with various creatures."
"fa97802ff89fc28056925243ba1be97f","Ugh, it stinks! !"
"05353653e112c09a1d55c19b618e760c","She pinches her nose, showing clear disgust."
"209d9d94550a0313dd73cc588616fd24","Miss, do you have any tissue?"
"a7b2c5d629b0ee5d32498344b855c59d","Here, take it, and move farther away! ~~"
"7f871139c932d735bcaf9bd37d41ffc5","She disdainfully takes something from her pocket and tosses it to you."
"648afa2a516bc4e7a6d6c5e7803f8079","Thank you!"
"fd0941fa997bd8af47946ed914340414","What a pitiful man. . ."
"8d97cb161bfbfb985994401114d0eab3","I had an upset stomach, and {0}{1} handed me a roll of paper. It turned out to be an Inner Kungfu Manual!"
"8dc6d3e3d74d72ae74e3d468df0f26a7","I gave you a secret manual?"
"304d688050235f04fbfb89ae3bd6b462","Feign deaf and mute"
"75287eb7793f9912689ba3c4fa6f89e3","Are you mute?  Remember not to eat any unclean food in the future."
"0b9fce9fac4272490d900f06a91ab38a","I had an upset stomach. {0}{1} took pity on me and gave me two Anti-poison Plasters."
"4573bf96f044d91ea74b2bc4807d9e92","{0}{1} tossed me two Anti-poison Plasters (Attitude toward me: Sympathy)"
"db84f1697c9979a605ca74cedba13bf5","......"
"cf93571f21a354050e8115855e99573d","Master, I greatly admire your martial skills and reputation. Although my martial abilities are humble, my loyalty knows no bounds. If you accept, I will serve you faithfully."
"394a805b0c32b486806bcde0dda13fb3","Accept as my retainer"
"48663b6b5a763886852f18d2442c8241","{0}{1} desired to follow me, and I accepted them as my retainer."
"e75ca24e8656f8175aafc230e8c5a7ef","Thank you, master. I won't disappoint you and pledge unwavering loyalty unto death! !"
"d5a2892b7a402a8aa235a65778b21369","Their trust in you has peaked."
"195b8a6b82371563c671d929d603c897","Satisfy"
"7173f80900ea2ff9fec6568115611305","Refuse"
"fa92a17ccfef2fc5e89f412f7b0b0e86","I understand. My skills are lacking, and it's hard to earn your recognition. I'll bid farewell for now, but if destiny permits, I hope we cross paths once more. May you continue to achieve greatness in the martial world!"
"fdf7faaeea84cf8892f0e5cb4dbab73b","{0}{1} admired me, but I turned down their request to follow me."
"96193737b6197cca98b831165c459ff1","Congratulations on becoming the Sect Master. Please take this."
"8a2c112bbf3dfe04e6fadf718d8ee000","Obtained a treasure."
"72e4236560d3377625a342bb9a0dc717","Accept"
"e57efa4710fcd9cd6d016c7b6a00de21","Thank you, Master!"
"1bd5a583743b62f3c0aa1a53bddbd428","Refuse"
"54154384f3453c6e413bc77cf563ab67","Alright, we'll meet again in the future."
"b89036f95374055dea94973956395d1f","I don't approve of my child's relationship with you. Break up now, or expect me to be less polite."
"2c633b21862d386d3308a4467b7a8db4","I didn't expect you to become a master or a champion; at the very least, you should become an elder! !"
"ebf3d245371d4db76758207cc79000c2","Ask for her opinion."
"104e41b10b23d593e7ed7bd97d1c06d6","It's not me! Why would I ever look down on you? It's my parents! All I want is to be with you and not be separated! !"
"b858639ce9aed7ca0789d5d878ab1b7c","I understand! !"
"13b22dc825816f21cc9730bcbfce4a88","You naive child! You know nothing! ! ! What kind of future can he offer you? Only hardships! You must break up with him! !"
"0328fe30a366fb162dca01d0fcc0cc97","Life has its ups and downs, and wealth can change over time. Don't judge me solely based on my current situation."
"d0ada9b54d69fcfdf039c3fa9458e380","Enough with the big talk! Prove yourself, and we'll see."
"7732b47218f2e488568612a6e80c4750","I'll talk to my parents... Don't stress too much."
"4e05656d58114b2a722dd27a58187eb1","Trust increased by 200"
"12131315259676d9e5ea5cebf67dea11","{0}{1}'s parents look down on me, but I've made a promise to prove myself. {0}{1} has shown increased trust in me."
"5aa455e9ac933ccf634aabd59e88140e","I have confidence."
